Year,bank_id,Model,MES,CoVaR,ACoVaR,Size,Lev,Cost_TI,NPA,DSIB,RWA_TA,WPS,ROE,Acquirer,Target,Type,Distance
2024,SBI,BM1,-2.5331891,-2.1048868,-0.9210177,15.6367793,16.38104898,26.74751171,2.236909297,1,0.1011333,22.6198714,17.330266,0,0,1,12.37858806
2023,SBI,BM2,-2.0265143,-1.8005143,-0.8357391,15.5233409,16.84015948,26.50886632,2.781310936,1,0.110195,23.1997198,16.532086,0,0,1,14.65306529
2022,SBI,BM2,-2.9815717,-2.1567611,-0.9012524,15.42246487,17.80724749,29.55419254,3.974333066,1,0.1293826,23.581968,11.86448,0,0,1,17.14256794
2021,SBI,BM2,-3.4792475,-2.0059726,-0.8761593,15.32720986,17.86086162,26.77888372,4.977134558,1,0.1432452,23.6277302,8.401,0,0,1,16.98765017
2020,SBI,BM2,-6.7070216,-2.7351187,-1.1193756,15.18957897,17.03132508,24.84710465,6.153586554,1,0.1729402,23.1957799,6.397628964,0,0,1,13.46290827
2019,SBI,BM4,-3.1534558,-2.0711523,-0.9564142,15.11867172,16.66221775,24.92020273,7.532322469,1,0.1906104,22.5922764,0.391884886,0,0,1,9.291543806
2018,SBI,BM4,-1.8032944,-1.9728306,-0.9314786,15.05526123,15.76586818,22.61163553,10.90748129,1,0.2050221,22.9467706,-3.214147619,0,0,1,8.596198877
2017,SBI,BM4,-2.2859242,-1.7473761,-0.8009056,14.81096964,14.37156987,22.02718395,6.903758251,1,0.2247626,18.4022044,6.305079914,1,0,1,9.726352722
2016,SBI,BM4,-3.4125958,-2.121547,-0.9386436,14.67316215,16.34120087,21.77938283,6.503664187,1,0.2509631,17.1483427,7.297536982,1,0,1,11.420234
2015,SBI,BM4,-3.2797903,-2.1744008,-0.9590176,14.53241323,15.9460299,21.74842897,4.247740217,1,0.3037695,16.7142286,10.620579,0,0,1,10.46386738
2014,SBI,BM4,-2.4350808,-1.9269389,-0.9390603,14.39926036,15.15652853,23.06326228,4.947734297,1,0.3347593,16.3410318,10.030276,0,0,1,15.41820768
2013,SBI,BM4,-3.067963,-2.312952,-1.0599671,14.26417006,15.83892497,21.58154847,4.746099166,0,0.3380375,16.1883153,15.429205,0,0,1,16.61943976
2012,SBI,BM4,-3.2166104,-2.2737559,-1.0944231,14.10483071,15.90827932,21.56727628,4.902567475,0,0.3625251,16.1716823,15.721102,0,0,1,12.85593389
2011,SBI,BM4,-2.9867729,-2.6568153,-1.2198651,14.0174192,18.83075412,23.67381123,3.483089576,0,0.4331401,16.6302299,12.623827,1,0,1,14.67795206
2010,SBI,BM4,-3.1172449,-2.1414277,-1.0270724,13.86754662,15.97310889,23.63679696,3.276271222,0,0.450105,16.9397481,14.796259,1,0,1,12.24326036
2009,SBI,BM2,-5.2318389,-3.4771592,-1.3850248,13.77929469,16.64314788,20.46138,2.975739109,0,0.461961,18.2632635,17.052152,0,0,1,6.076860965
2008,SBI,BM4,-5.6743367,-4.2016326,-1.6440403,13.48912413,14.71521818,21.87276345,3.040638968,0,0.6463714,16.1865652,16.753449,0,0,1,10.67497054
2007,SBI,BM4,-4.3855122,-3.0476245,-1.2934286,13.24734751,18.10196073,26.86699542,2.92273377,0,0.7527788,16.1487334,15.409242,1,0,1,10.8855184
2006,SBI,BM2,-3.6172973,-2.7435223,-1.171592,13.11034941,17.87105396,27.00716162,3.879390522,0,0.896734,17.5566716,17.041738,0,0,1,11.74384625
2005,SBI,BM2,-3.0511919,-2.2260685,-0.9862066,13.0387271,19.10436484,25.47333916,5.962411291,0,0.9192124,19.9747297,19.431989,0,0,1,21.47945446
2024,HDFC,BM3,-2.662596,-2.109346,-0.9923449,15.10132776,8.217280086,20.60787419,1.238388384,1,0.1117007,10.9498818,16.88187,0,0,0,34.40717641
2023,HDFC,BM1,-2.083897,-1.7283462,-0.7932506,14.718141,8.801178445,24.71576503,1.115817099,1,0.1174764,9.87713,16.955366,1,0,0,13.55272606
2022,HDFC,BM4,-2.7540091,-2.1801694,-1.0037278,14.54235121,8.615559714,23.80863977,1.166302365,1,0.1418467,9.0754303,16.656245,0,0,0,17.7659543
2021,HDFC,BM4,-2.4496701,-2.0742639,-0.934307,14.37333647,8.574825329,22.40307497,1.311923961,1,0.1679511,8.5688857,16.608,0,0,0,15.0421342
2020,HDFC,BM4,-5.931864,-3.0106852,-1.4408434,14.24111239,8.951089538,22.2327497,1.252522621,1,0.1934476,8.2110811,16.40096174,0,0,0,19.83783296
2019,HDFC,BM4,-1.4503276,-2.1524123,-1.0134465,14.0342771,8.341070424,22.40122856,1.345997822,1,0.2557805,7.1635485,16.49945527,0,0,0,20.428123
2018,HDFC,BM4,-1.2683419,-2.0094464,-0.9423548,13.87748422,10.0092607,23.76910509,1.280664717,1,0.3291694,6.6878947,17.86571858,0,0,0,17.07331288
2017,HDFC,BM4,-0.5634868,-1.6629361,-0.7489299,13.66914307,9.655907596,24.14552818,1.043004824,1,0.4077605,5.7925812,17.94699746,0,0,0,21.38980831
2016,HDFC,BM4,-1.5119444,-2.1384203,-1.0157146,13.51548066,10.19288466,23.92411158,0.919117187,0,0.4395102,5.4140798,18.25892114,0,0,0,16.6041889
2015,HDFC,BM4,-2.0929219,-2.1705252,-1.0460137,13.28873012,9.522796801,24.34044333,0.887718931,0,0.5056198,4.7784968,19.368866,0,0,0,14.8581184
2014,HDFC,BM4,-1.4775288,-1.8871245,-0.9213745,13.10541964,11.3066933,24.54827258,0.910067152,0,0.6073543,4.304817,21.277653,0,0,0,11.23141734
2013,HDFC,BM4,-3.0423264,-2.3780279,-1.1766419,12.90004923,11.05457162,26.80531405,0.848739528,0,0.7075733,3.9873466,20.339898,0,0,0,11.92735921
2012,HDFC,BM4,-1.7534993,-2.3937837,-1.1957202,12.73053338,11.29200211,27.56459203,0.950364169,0,0.8407657,3.822803,18.686156,0,0,0,10.82456975
2011,HDFC,BM4,-2.6890087,-2.9240059,-1.4632221,12.53304487,10.92831314,29.48030551,1.059517721,0,1.0341431,3.7142285,16.743085,0,0,0,15.07447092
2010,HDFC,BM2,-1.668042,-2.3112682,-1.1084421,12.31249616,10.3360964,29.46939337,1.442465757,0,1.1798489,3.526591,16.302734,0,0,0,23.54243668
2009,HDFC,BM2,-3.6102829,-4.0309831,-1.982054,12.11871997,12.50839892,28.195709,1.979182826,0,1.4793301,3.5147554,17.170326,0,0,0,20.208668
2008,HDFC,BM4,-5.2281943,-4.8359606,-2.4669579,11.79943137,11.58335369,30.21109147,1.411794103,0,1.9568935,3.0351422,17.737405,1,0,0,28.97074992
2007,HDFC,BM4,-3.1168566,-3.4503477,-1.7172457,11.42120056,14.18210519,29.65155019,1.3611328,0,2.6763887,2.5324267,19.457501,0,0,0,25.00957742
2006,HDFC,BM4,-2.3242256,-2.9874148,-1.4746097,11.20512762,13.87017699,30.20170306,1.402468408,0,3.7336002,2.5775993,17.735044,0,0,0,27.76956559
2005,HDFC,BM4,-2.0884449,-2.3317825,-1.1054842,10.84795749,11.37739255,28.98395922,1.646315838,0,4.9550939,1.9783986,18.452897,0,0,0,33.26298507
2024,ICICI,BM4,-1.4926311,-2.0933772,-0.9895534,14.4422586,7.850335162,23.59544032,2.263916567,1,0.4596187,6.5006956,18.623047,0,0,0,14.21213313
2023,ICICI,BM4,-1.0619607,-1.7365018,-0.8067252,14.2755943,7.892801581,25.47073416,2.870434328,1,0.4807456,6.1927101,17.184346,0,0,0,17.99649642
2022,ICICI,BM4,-2.6338223,-2.1915292,-1.0396199,14.16002022,8.276824821,25.48649741,3.759264925,1,0.5140319,6.1963426,14.677948,0,0,0,16.68695772
2021,ICICI,BM4,-3.1126249,-2.0520653,-1.0037133,14.02287643,8.341397017,21.98138216,5.334960797,1,0.5880379,5.985255,12.267,0,0,0,17.11205995
2020,ICICI,BM4,-7.7977702,-2.9204041,-1.4888226,13.9093334,9.427670399,23.68782036,6.037213337,1,0.7317262,5.5167549,7.053609679,0,0,0,18.74045161
2019,ICICI,BM4,-2.4708244,-2.0997626,-1.0555894,13.77932275,8.899848457,23.21689487,7.379180922,1,0.7915791,5.0666389,3.150235751,0,0,0,24.00578517
2018,ICICI,BM4,-1.3980853,-1.9753966,-0.9865951,13.68675535,8.360574873,21.69486737,9.896954743,1,0.7939714,4.7564437,6.608573623,0,0,0,25.77495763
2017,ICICI,BM4,-1.2553096,-1.6757444,-0.7618115,13.55646964,7.721692661,20.03109542,8.738413404,1,0.8680931,4.4102178,10.33398019,0,0,0,29.71607884
2016,ICICI,BM3,-3.1376641,-2.134434,-1.0389928,13.48797145,8.031319116,18.63516729,5.824580427,1,0.9699217,4.1755699,11.4315997,0,0,0,36.84329304
2015,ICICI,BM3,-3.707237,-2.1890635,-1.0690447,13.37875491,8.033500828,18.76341254,3.783490374,1,1.0545131,3.8326154,14.547201,0,0,0,41.67579388
2014,ICICI,BM3,-2.2303784,-1.9097973,-0.9727936,13.29571412,8.122040117,18.87861535,3.025775356,1,1.0974133,3.8896863,14.023052,0,0,0,45.1668055
2013,ICICI,BM3,-3.2127896,-2.3637801,-1.2123704,13.19337096,8.047177343,18.6134698,3.219580316,0,1.146809,3.9384433,13.099511,0,0,0,43.87389913
2012,ICICI,BM3,-2.9223545,-2.3386224,-1.2478497,13.10025845,8.096462812,19.12623827,4.831496076,0,1.2727148,3.9590615,11.195621,0,0,0,44.85190376
2011,ICICI,BM3,-3.5124791,-2.811134,-1.515214,12.91468381,7.373874701,20.28465543,5.802020265,0,1.4510559,4.0172214,9.654971,0,0,0,47.1196903
2010,ICICI,BM3,-3.2082293,-2.2444539,-1.2149199,12.80325865,7.040124358,17.65829838,6.521733623,0,1.5805986,4.2557408,7.958335,1,0,0,38.29828744
2009,ICICI,BM3,-6.8848424,-3.8338455,-2.0292471,12.84608526,7.657537739,18.20618033,4.315025047,0,1.8899609,5.3737883,7.800742,0,0,0,41.01782655
2008,ICICI,BM3,-8.6622217,-4.6318309,-2.4525202,12.89870739,8.538942488,20.59183347,3.297200425,0,2.6207527,7.3622444,11.632697,0,0,0,34.14010644
2007,ICICI,BM3,-4.4206305,-3.2629228,-1.7151473,12.75030823,13.97455369,23.13193634,2.081809146,0,3.1008368,8.547112,13.173524,1,0,0,28.16498191
2006,ICICI,BM3,-3.5078444,-2.9076534,-1.5111018,12.43475664,11.14510764,27.05224602,1.50555484,0,3.6943349,7.62621,14.328054,1,0,0,30.08703748
2005,ICICI,BM3,-2.9575696,-2.2967892,-1.1604857,12.02968985,12.99688214,25.72226453,2.977496813,0,5.5025848,5.4321388,18.86314,0,0,0,35.34853788
2024,BOB,BM1,-3.1191875,-2.0424945,-0.78364,14.27659774,14.13069315,22.22768207,2.919161967,0,0.400371,6.1056035,16.905756,0,0,1,11.29597328
2023,BOB,BM1,-2.9468842,-1.7208317,-0.7388367,14.19296126,14.84950734,24.61322676,3.79183684,0,0.4371731,6.3125276,15.325494,0,0,1,9.740160459
