"Year","bank_id","Model","MES","CoVaR","ACoVaR","Size","Lev","Cost_TI","NPA","DSIB","RWA_TA","WPS","ROE","Acquirer","Target","Type","Distance","MES_pos","ACoVar_pos","CoVar_pos","SIZE_ortho","INSTABILITY","ENDOGENOUS","EXOGENOUS","Model_lag","MES_lag","ACoVar_lag","CoVar_lag","SIZE_lag","Lev_lag","Cost_TI_lag","NPA_lag","DSIB_lag","RWA_TA_lag","WPS_lag","ROE_lag","Type_lag","Acquirer_lag","Target_lag","Distance_lag","IMR_BM4","IMR_BM1","IMR_BM2","IMR_BM3","BM1_lag","BM2_lag","BM3_lag"
2006,"ALLH*","BM2",-3.24891,-2.8015345,-0.9449612,10.92038333,15.19624158,24.37239718,3.938063725,0,6.0425788,2.2404997,23.670933,0,0,1,16.48297933,3.24891,0.9449612,2.8015345,-0.453914736555509,0,0,0,"BM2",2.2528307,0.8855495,2.2413078,-0.323538594359452,19.39506044,27.97381461,5.797801503,0,6.1290588,2.2182725,27.930545,1,0,0,24.12855098,-0.256313203179831,-0.34428729896656,-0.855465251139616,-0.0292572408635373,0,1,0
2007,"ALLH*","BM2",-4.0564915,-3.155768,-0.990592,11.12230574,15.11421239,19.52819524,2.610106408,0,5.2729738,2.2078257,18.486952,0,0,1,9.670472379,4.0564915,0.990592,3.155768,-0.40197069286095,1,0,1,"BM2",3.24891,0.9449612,2.8015345,-0.453914736555509,15.19624158,24.37239718,3.938063725,0,6.0425788,2.2404997,23.670933,1,0,0,16.48297933,-0.521297723713764,-0.592890584166109,-0.506745523677526,-0.0913941488982933,0,1,0
2008,"ALLH*","BM4",-5.8334998,-4.3418486,-1.0981416,11.32586458,15.88556668,16.22180139,2.009460964,0,4.4919641,2.1570799,20.102179,0,0,1,10.89165328,5.8334998,1.0981416,4.3418486,-0.223977022769384,1,0,1,"BM2",4.0564915,0.990592,3.155768,-0.40197069286095,15.11421239,19.52819524,2.610106408,0,5.2729738,2.2078257,18.486952,1,0,0,9.670472379,-0.569051705714434,-0.719644431160292,-0.222680865748944,-0.106829856352914,0,1,0
2009,"ALLH*","BM4",-3.2168694,-3.4557644,-0.9692675,11.48912453,16.68640615,16.45110635,1.813910375,0,3.4893929,2.0912523,13.882386,0,0,1,10.85420861,3.2168694,0.9692675,3.4557644,-0.0328882158118781,1,0,1,"BM4",5.8334998,1.0981416,4.3418486,-0.223977022769384,15.88556668,16.22180139,2.009460964,0,4.4919641,2.1570799,20.102179,1,0,0,10.89165328,-0.583934408032266,-0.718118893976517,-0.179906146887593,-0.126404151562733,0,0,0
2010,"ALLH*","BM2",-1.9290354,-2.0661825,-0.8545911,11.70930781,18.02163051,16.3663614,1.707245652,0,2.6949523,2.2342016,19.140603,0,0,1,8.210786688,1.9290354,0.8545911,2.0661825,0.267290470207366,0,0,0,"BM4",3.2168694,0.9692675,3.4557644,-0.0328882158118781,16.68640615,16.45110635,1.813910375,0,3.4893929,2.0912523,13.882386,1,0,0,10.85420861,-0.505365361410195,-0.771580008308153,-0.157882515357256,-0.163060973000835,0,0,0
2011,"ALLH*","BM2",-2.9034624,-2.7009051,-0.9515026,11.92692975,17.78294181,18.8799547,1.798298747,0,2.4288386,2.3484706,18.651029,0,0,1,6.347526769,2.9034624,0.9515026,2.7009051,0.522263197991578,0,0,0,"BM2",1.9290354,0.8545911,2.0661825,0.267290470207366,18.02163051,16.3663614,1.707245652,0,2.6949523,2.2342016,19.140603,1,0,0,8.210786688,-0.529292473645068,-0.770065165638325,-0.17513405225096,-0.0901434622254419,0,1,0
2012,"ALLH*","BM4",-3.8452085,-2.3386413,-0.9261484,12.11688381,17.41137394,15.99926056,1.912446339,0,2.130445,2.4729508,19.635928,0,0,1,9.387465608,3.8452085,0.9261484,2.3386413,0.539444938310401,0,0,0,"BM2",2.9034624,0.9515026,2.7009051,0.522263197991578,17.78294181,18.8799547,1.798298747,0,2.4288386,2.3484706,18.651029,1,0,0,6.347526769,-0.527042937922506,-0.765616969608634,-0.201955314096473,-0.077211846337408,0,1,0
2013,"ALLH*","BM4",-3.4193308,-2.4072801,-0.9345763,12.22770296,18.00245705,15.64089901,3.92327534,0,2.2181623,2.4057788,10.844085,0,0,1,10.0861222,3.4193308,0.9345763,2.4072801,0.498833382734357,0,0,0,"BM4",3.8452085,0.9261484,2.3386413,0.539444938310401,17.41137394,15.99926056,1.912446339,0,2.130445,2.4729508,19.635928,1,0,0,9.387465608,-0.582838507559408,-0.722239205951392,-0.190023703916712,-0.102128086599877,0,0,0
2014,"ALLH*","BM4",-4.1194784,-2.0017128,-0.8926146,12.30335489,18.67971046,16.52911166,5.725860446,0,2.4805419,2.2364812,10.124038,0,0,1,7.947846398,4.1194784,0.8926146,2.0017128,0.580905521988668,0,0,0,"BM4",3.4193308,0.9345763,2.4072801,0.498833382734357,18.00245705,15.64089901,3.92327534,0,2.2181623,2.4057788,10.844085,1,0,0,10.0861222,-0.55763346027212,-0.732483047645116,-0.223807129155798,-0.0898677853105502,0,0,0
2015,"ALLH*","BM4",-4.102709,-2.2800738,-0.9145556,12.33313023,17.96254402,17.10644413,5.459324182,0,2.4076717,2.0503219,5.080321,0,0,1,6.764196028,4.102709,0.9145556,2.2800738,0.613010771370101,1,1,0,"BM4",4.1194784,0.8926146,2.0017128,0.580905521988668,18.67971046,16.52911166,5.725860446,0,2.4805419,2.2364812,10.124038,1,0,0,7.947846398,-0.56806674398868,-0.704325080670177,-0.295770640570056,-0.0400495753398118,0,0,0
